State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent,Max Raised Candidate,Max Spent Candidate,Money_Difference
CA,50,Darrell Issa,R,False,True,54.0,11239670.0,10947106.0,True,True,292564.0
CA,51,Juan Vargas,D,True,True,68.3,799734.0,801671.0,True,True,-1937.0
CA,52,Scott Peters,D,True,True,61.6,1911791.0,2131849.0,True,True,-220058.0
CA,53,Sara Jacobs,D,False,True,59.5,7678363.0,7586186.0,True,True,92177.0
CO,1,Diana DeGette,D,True,True,73.7,1201026.0,1077130.0,True,True,123896.0
CO,2,Joseph Neguse,D,True,True,61.5,1353325.0,674602.0,True,True,678723.0
CO,3,Lauren Boebert,R,False,True,51.4,2989510.0,2632716.0,False,False,356794.0
CO,4,Ken Buck,R,True,True,60.1,478984.0,539393.0,True,True,-60409.0
CO,5,Doug Lamborn,R,True,True,57.6,540712.0,329011.0,True,True,211701.0
CO,6,Jason Crow,D,True,True,57.1,4136137.0,2892443.0,True,True,1243694.0
CO,7,Ed Perlmutter,D,True,True,59.1,1632262.0,1339482.0,True,True,292780.0
CT,1,John Larson,D,True,True,63.7,1377238.0,1323690.0,True,True,53548.0
CT,2,Joe Courtney,D,True,True,59.4,964731.0,999360.0,True,True,-34629.0
CT,3,Rosa DeLauro,D,True,True,58.7,1938999.0,1795635.0,True,False,143364.0
CT,4,Jim Himes,D,True,True,62.3,1612935.0,2180029.0,True,True,-567094.0
CT,5,Jahana Hayes,D,True,True,55.1,2037826.0,1564685.0,True,True,473141.0
DE,1,Lisa Blunt Rochester,D,True,True,57.6,2024201.0,1305618.0,True,True,718583.0
FL,1,Matt Gaetz,R,True,True,64.6,5946646.0,4482782.0,True,True,1463864.0
FL,2,Neal Dunn,R,True,True,98.0,653488.0,637580.0,True,True,15908.0
FL,3,Kat Cammack,R,False,True,57.1,1122188.0,1090334.0,True,True,31854.0
FL,4,John Rutherford,R,True,True,61.1,1024912.0,1283701.0,True,True,-258789.0
FL,5,Al Lawson,D,True,True,65.1,848498.0,695779.0,True,True,152719.0
FL,6,Michael Waltz,R,True,True,60.6,2549667.0,1716768.0,True,True,832899.0
FL,7,Stephanie Murphy,D,True,True,55.3,3124692.0,1798549.0,True,True,1326143.0
FL,8,Bill Posey,R,True,True,61.4,985268.0,1121834.0,True,True,-136566.0
FL,9,Darren Soto,D,True,True,56.0,1111750.0,945868.0,True,True,165882.0
FL,10,Val Demings,D,True,True,63.6,1876047.0,1191020.0,True,True,685027.0
FL,11,Daniel Webster,R,True,True,66.7,691261.0,586965.0,True,True,104296.0
FL,12,Gus Bilirakis,R,True,True,62.9,1604137.0,1548634.0,True,True,55503.0
FL,13,Charlie Crist,D,True,True,53.0,2720646.0,3980695.0,False,True,-1260049.0
FL,14,Kathy Castor,D,True,True,60.3,884651.0,1201653.0,True,True,-317002.0
FL,15,Scott Franklin,R,False,True,55.4,1663898.0,1638417.0,False,False,25481.0
FL,16,Vernon Buchanan,R,True,True,55.5,3094611.0,3100766.0,False,False,-6155.0
FL,17,Greg Steube,R,True,True,64.6,759908.0,621200.0,True,True,138708.0
FL,18,Brian Mast,R,True,True,56.4,6128177.0,5301307.0,True,True,826870.0
FL,19,Byron Donalds,R,False,True,61.3,3219579.0,2738685.0,True,True,480894.0
FL,20,Alcee Hastings,D,True,True,78.7,607649.0,543316.0,True,True,64333.0
FL,21,Lois Frankel,D,True,True,59.0,1534882.0,1309786.0,False,False,225096.0
FL,22,Ted Deutch,D,True,True,58.6,1364438.0,1265494.0,True,True,98944.0
FL,23,Debbie Wasserman Schultz,D,True,True,58.2,2191922.0,1979903.0,True,True,212019.0
FL,24,Frederica Wilson,D,True,True,75.6,412592.0,321019.0,True,True,91573.0
FL,25,Mario Diaz-Balart,R,True,True,100.0,1590134.0,804054.0,True,True,786080.0
FL,26,Carlos Gimenez,R,False,True,51.7,2226559.0,2187389.0,False,False,39170.0
FL,27,Maria Salazar,R,False,True,51.4,3654190.0,3645814.0,False,False,8376.0
GA,1,Buddy Carter,R,True,True,58.4,2315487.0,1734754.0,True,True,580733.0
GA,2,Sanford Bishop,D,True,True,59.1,1540683.0,1440571.0,True,True,100112.0
GA,3,Drew Ferguson,R,True,True,65.0,2374212.0,2150911.0,True,True,223301.0
GA,4,Hank Johnson,D,True,True,80.1,628303.0,490360.0,True,True,137943.0
GA,5,Nikema Williams,D,False,True,85.2,553964.0,362801.0,True,True,191163.0
GA,6,Lucy McBath,D,True,True,54.6,8507298.0,8586054.0,True,True,-78756.0
GA,7,Carolyn Bourdeaux,D,False,True,54.4,5133244.0,5161230.0,True,True,-27986.0
GA,8,Austin Scott,R,True,True,64.5,821745.0,716159.0,True,True,105586.0
GA,9,Andrew Clyde,R,False,True,78.6,1569425.0,1561316.0,True,True,8109.0
GA,10,Jody Hice,R,True,True,62.3,595947.0,457648.0,True,True,138299.0
GA,11,Barry Loudermilk,R,True,True,60.4,877767.0,700851.0,True,True,176916.0
GA,12,Richard W Allen,R,True,True,58.4,1228970.0,662818.0,True,True,566152.0
GA,13,David Scott,D,True,True,77.4,1209614.0,1131746.0,True,True,77868.0
GA,14,Marjorie Taylor Greene,R,False,True,74.8,2596914.0,2237599.0,True,True,359315.0
HI,2,Kai Kahele,D,False,True,57.9,1235523.0,1039637.0,True,True,195886.0
ID,1,Russ Fulcher,R,True,True,67.8,575485.0,508457.0,True,True,67028.0
ID,2,Mike Simpson,R,True,True,64.1,1008847.0,1099604.0,True,True,-90757.0
IL,1,Bobby Rush,D,True,True,73.8,541435.0,496454.0,True,True,44981.0
IL,2,Robin Kelly,D,True,True,78.8,1634783.0,1108137.0,True,True,526646.0
IL,3,Marie Newman,D,False,True,56.4,2802093.0,2699323.0,True,True,102770.0
IL,4,Jesus Garcia,D,True,True,16.0,822846.0,711159.0,True,True,111687.0
IL,5,Mike Quigley,D,True,True,70.8,1171507.0,926655.0,True,True,244852.0
IL,6,Sean Casten,D,True,True,52.8,5582179.0,5313570.0,True,True,268609.0
IL,7,Danny K Davis,D,True,True,80.4,544690.0,505506.0,True,True,39184.0
IL,8,Raja Krishnamoorthi,D,True,True,73.2,6358878.0,2207703.0,True,True,4151175.0
IL,9,Jan Schakowsky,D,True,True,71.0,1834801.0,1514838.0,True,True,319963.0
IL,10,Brad Schneider,D,True,True,63.8,3459512.0,2873333.0,True,True,586179.0
IL,11,Bill Foster,D,True,True,63.3,2381354.0,1823906.0,True,True,557448.0
IL,12,Mike Bost,R,True,True,60.6,1918041.0,1509573.0,True,True,408468.0
IL,13,Rodney Davis,R,True,True,54.4,4943459.0,4822600.0,False,False,120859.0
IL,14,Lauren A Underwood,D,True,True,50.7,7803579.0,7301503.0,True,True,502076.0
IL,15,Mary Miller,R,False,True,73.5,689057.0,570356.0,True,True,118701.0
IL,16,Adam Kinzinger,R,True,True,64.8,2105736.0,1588550.0,True,True,517186.0
IL,17,Cheri Bustos,D,True,True,52.0,4975192.0,6391009.0,True,True,-1415817.0
