State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent
CA,23,Kim Mangone,D,False,False,37.9,1671101.0,1665373.0
CA,24,Salud Carbajal,D,True,True,58.7,2117836.0,1451622.0
CA,24,Andy Caldwell,R,False,False,41.3,1298798.0,1268199.0
CA,25,Mike Garcia,R,True,True,50.0,9962507.0,9584648.0
CA,25,Christy Smith,D,False,False,50.0,5977734.0,5808477.0
CA,26,Julia Brownley,D,True,True,60.6,1976695.0,1314677.0
CA,26,Ronda Kennedy,R,False,False,39.4,246226.0,67208.0
CA,27,Judy Chu,D,True,True,69.8,1213706.0,956298.0
CA,27,Johnny Nalbandian,R,False,False,30.2,39584.0,39159.0
CA,28,Adam Schiff,D,True,True,72.7,19382855.0,10188664.0
CA,28,Eric Early,R,False,False,27.3,4085322.0,3790027.0
CA,29,Tony Cardenas,D,True,True,56.6,1419697.0,1213588.0
CA,30,Brad Sherman,D,True,True,69.5,1513374.0,1111826.0
CA,31,Pete Aguilar,D,True,True,61.3,2475748.0,1861434.0
CA,31,Agnes Gibboney,R,False,False,38.7,138687.0,127907.0
CA,32,Grace Napolitano,D,True,True,66.6,478426.0,251047.0
CA,32,Joshua Scott,R,False,False,33.4,23624.0,14248.0
CA,33,Ted Lieu,D,True,True,67.6,1661436.0,1582573.0
CA,33,James Bradley,R,False,False,32.4,78910.0,79035.0
CA,34,Jimmy Gomez,D,True,True,53.0,1401166.0,1268312.0
CA,34,David Kim,D,False,False,47.0,193430.0,80381.0
CA,35,Norma Torres,D,True,True,69.3,654727.0,664600.0
CA,35,Mike Cargile,R,False,False,30.7,36113.0,35915.0
CA,36,Raul Ruiz,D,True,True,60.3,2402624.0,1732443.0
CA,36,Erin Cruz,R,False,False,39.7,54217.0,53840.0
CA,37,Karen Bass,D,True,True,85.9,2216467.0,1202942.0
CA,37,Errol Webber,R,False,False,14.1,66398.0,174076.0
CA,38,Linda Sanchez,D,True,True,74.3,1246008.0,1140165.0
CA,39,Gil Cisneros,D,True,False,49.4,4370133.0,4350464.0
CA,39,Young Kim,R,False,True,50.6,6424556.0,6021651.0
CA,40,Lucille Roybal-Allard,D,True,True,72.7,739790.0,741379.0
CA,40,Antonio Delgado,R,False,False,27.3,85014.0,79270.0
CA,41,Mark Takano,D,True,True,64.0,1020456.0,949494.0
CA,41,Aja Smith,R,False,False,36.0,660658.0,659909.0
CA,42,Ken Calvert,R,True,True,57.1,1441812.0,1549113.0
CA,42,Liam O'Mara,D,False,False,42.9,130065.0,128782.0
CA,43,Maxine Waters,D,True,True,71.7,1836660.0,1906957.0
CA,43,Joe Collins,R,False,False,28.3,10556626.0,9921103.0
CA,44,Nanette Barragan,D,True,True,67.8,1173909.0,714023.0
CA,45,Katie Porter,D,True,True,53.5,16627706.0,6443700.0
CA,45,Greg Raths,R,False,False,46.5,1245767.0,1241713.0
CA,46,Lou Correa,D,True,True,68.8,1192715.0,650707.0
CA,47,Alan Lowenthal,D,True,True,63.3,678648.0,854902.0
CA,47,John Briscoe,R,False,False,36.7,25302.0,21538.0
CA,48,Harley Rouda,D,True,False,48.9,5968858.0,6174443.0
CA,48,Michelle Steel,R,False,True,51.1,6305665.0,6148591.0
CA,49,Mike Levin,D,True,True,53.1,3845768.0,2901566.0
CA,49,Brian Maryott,R,False,False,46.9,2810253.0,2808217.0
CA,50,Darrell Issa,R,False,True,54.0,11239670.0,10947106.0
CA,50,Ammar Campa-Najjar,D,False,False,46.0,6248210.0,6247762.0
CA,51,Juan Vargas,D,True,True,68.3,799734.0,801671.0
CA,51,Juan Hidalgo,R,False,False,31.7,83730.0,81182.0
CA,52,Scott Peters,D,True,True,61.6,1911791.0,2131849.0
CA,52,James Debello,R,False,False,38.4,233464.0,224630.0
CA,53,Sara Jacobs,D,False,True,59.5,7678363.0,7586186.0
CA,53,Georgette Gomez,D,False,False,40.5,1691794.0,1663252.0
CO,1,Diana DeGette,D,True,True,73.7,1201026.0,1077130.0
CO,2,Joseph Neguse,D,True,True,61.5,1353325.0,674602.0
CO,2,Charles Winn,R,False,False,35.4,98338.0,98338.0
CO,3,Diane Mitsch Bush,D,False,False,45.2,5008274.0,4984238.0
CO,3,Lauren Boebert,R,False,True,51.4,2989510.0,2632716.0
CO,4,Ken Buck,R,True,True,60.1,478984.0,539393.0
CO,4,Ike McCorkle,D,False,False,36.1,369871.0,217398.0
CO,5,Doug Lamborn,R,True,True,57.6,540712.0,329011.0
CO,5,Jillian Freeland,D,False,False,37.4,185255.0,175548.0
CO,6,Jason Crow,D,True,True,57.1,4136137.0,2892443.0
CO,6,Steven House,R,False,False,40.0,1200056.0,1198044.0
CO,7,Ed Perlmutter,D,True,True,59.1,1632262.0,1339482.0
CO,7,Casper Stockham,R,False,False,37.6,147872.0,147872.0
CT,1,John Larson,D,True,True,63.7,1377238.0,1323690.0
CT,1,Mary Fay,R,False,False,35.0,26836.0,25118.0
CT,2,Joe Courtney,D,True,True,59.4,964731.0,999360.0
CT,2,Justin Anderson,R,False,False,38.2,80227.0,78767.0
CT,3,Rosa DeLauro,D,True,True,58.7,1938999.0,1795635.0
CT,3,Margaret Streicker,R,False,False,39.8,1839080.0,1835385.0
CT,4,Jim Himes,D,True,True,62.3,1612935.0,2180029.0
CT,4,Jonathan Riddle,R,False,False,36.2,31591.0,17385.0
CT,5,Jahana Hayes,D,True,True,55.1,2037826.0,1564685.0
CT,5,David Sullivan,R,False,False,43.5,397395.0,397370.0
DE,1,Lisa Blunt Rochester,D,True,True,57.6,2024201.0,1305618.0
DE,1,Lee Murphy,R,False,False,40.2,131394.0,131862.0
DE,1,Catherine Purcell,I,False,False,1.4,5344.0,5103.0
FL,1,Matt Gaetz,R,True,True,64.6,5946646.0,4482782.0
FL,1,Phil Ehr,D,False,False,34.0,2025099.0,1900451.0
FL,1,Bert Oram,I,False,False,1.4,8108.0,7070.0
FL,2,Neal Dunn,R,True,True,98.0,653488.0,637580.0
FL,3,Kat Cammack,R,False,True,57.1,1122188.0,1090334.0
FL,3,Adam Christensen,D,False,False,42.9,216021.0,219108.0
FL,4,John Rutherford,R,True,True,61.1,1024912.0,1283701.0
FL,4,Donna Deegan,D,False,False,38.9,1013157.0,1013157.0
FL,5,Al Lawson,D,True,True,65.1,848498.0,695779.0
FL,5,Gary Adler,R,False,False,34.9,146909.0,146909.0
FL,6,Michael Waltz,R,True,True,60.6,2549667.0,1716768.0
FL,6,Clint Curtis,D,False,False,39.4,24310.0,22251.0
FL,7,Stephanie Murphy,D,True,True,55.3,3124692.0,1798549.0
FL,7,Leo Valentin,R,False,False,43.2,1045426.0,1031316.0
FL,7,Bill Garlington,I,False,False,1.4,11000.0,0.0
FL,8,Bill Posey,R,True,True,61.4,985268.0,1121834.0
FL,8,James Kennedy,D,False,False,38.6,138568.0,138790.0
FL,9,Darren Soto,D,True,True,56.0,1111750.0,945868.0
FL,9,William Olson,R,False,False,44.0,404406.0,401088.0
FL,10,Val Demings,D,True,True,63.6,1876047.0,1191020.0
FL,10,Vennia Francois,R,False,False,36.4,335480.0,332852.0
FL,11,Daniel Webster,R,True,True,66.7,691261.0,586965.0
FL,11,Dana Cottrell,D,False,False,33.3,62658.0,62380.0
FL,12,Gus Bilirakis,R,True,True,62.9,1604137.0,1548634.0
FL,12,Kim Walker,D,False,False,37.1,42802.0,33544.0
FL,13,Charlie Crist,D,True,True,53.0,2720646.0,3980695.0
FL,13,Anna Paulina Luna,R,False,False,47.0,3302944.0,3262236.0
FL,14,Kathy Castor,D,True,True,60.3,884651.0,1201653.0
FL,14,Christine Quinn,R,False,False,39.7,242144.0,241187.0
FL,15,Alan Cohn,D,False,False,44.6,2333053.0,2300197.0
FL,15,Scott Franklin,R,False,True,55.4,1663898.0,1638417.0
FL,16,Vernon Buchanan,R,True,True,55.5,3094611.0,3100766.0
FL,16,Margaret Good,D,False,False,44.5,3411924.0,3407845.0
FL,17,Greg Steube,R,True,True,64.6,759908.0,621200.0
FL,17,Allen Ellison,D,False,False,34.1,83481.0,78243.0
FL,18,Brian Mast,R,True,True,56.4,6128177.0,5301307.0
FL,18,Pam Keith,D,False,False,41.5,1639873.0,1632736.0
FL,19,Byron Donalds,R,False,True,61.3,3219579.0,2738685.0
FL,19,Cindy Banyai,D,False,False,38.7,214750.0,203430.0
FL,20,Alcee Hastings,D,True,True,78.7,607649.0,543316.0
FL,20,Greg Musselwhite,R,False,False,21.3,28955.0,27538.0
FL,21,Lois Frankel,D,True,True,59.0,1534882.0,1309786.0
FL,21,Laura Loomer,R,False,False,39.1,2271604.0,2240689.0
FL,21,Charleston Malkemus,I,False,False,1.9,28928.0,28636.0
FL,22,Ted Deutch,D,True,True,58.6,1364438.0,1265494.0
FL,22,Jim Pruden,R,False,False,41.4,278416.0,278416.0
FL,23,Debbie Wasserman Schultz,D,True,True,58.2,2191922.0,1979903.0
FL,23,Carla Spalding,R,False,False,41.8,919579.0,903561.0
FL,24,Frederica Wilson,D,True,True,75.6,412592.0,321019.0
FL,24,Lavern Spicer,R,False,False,20.4,34973.0,34909.0
FL,24,Christine Olivo,I,False,False,4.0,31646.0,32898.0
FL,25,Mario Diaz-Balart,R,True,True,100.0,1590134.0,804054.0
FL,26,Debbie Mucarsel-Powell,D,True,False,48.3,6793521.0,6822740.0
FL,26,Carlos Gimenez,R,False,True,51.7,2226559.0,2187389.0
FL,27,Donna Shalala,D,True,False,48.6,3842907.0,3735966.0
FL,27,Maria Salazar,R,False,True,51.4,3654190.0,3645814.0
GA,1,Buddy Carter,R,True,True,58.4,2315487.0,1734754.0
GA,1,Joyce Griggs,D,False,False,41.7,130043.0,125000.0
GA,2,Sanford Bishop,D,True,True,59.1,1540683.0,1440571.0
GA,2,Don Cole,R,False,False,40.9,164274.0,162522.0
GA,3,Drew Ferguson,R,True,True,65.0,2374212.0,2150911.0
GA,3,Val Almonord,D,False,False,35.0,35762.0,31946.0
GA,4,Hank Johnson,D,True,True,80.1,628303.0,490360.0
GA,4,Johsira C. Cruz,R,False,False,19.9,12954.0,23146.0
GA,5,Nikema Williams,D,False,True,85.2,553964.0,362801.0
GA,5,Angela Stanton-King,R,False,False,14.9,305279.0,301338.0
GA,6,Lucy McBath,D,True,True,54.6,8507298.0,8586054.0
GA,6,Karen Handel,R,False,False,45.4,3026243.0,3072932.0
GA,7,Carolyn Bourdeaux,D,False,True,54.4,5133244.0,5161230.0
GA,7,Richard McCormick,R,False,False,48.6,2595446.0,2563724.0
GA,8,Austin Scott,R,True,True,64.5,821745.0,716159.0
GA,9,Andrew Clyde,R,False,True,78.6,1569425.0,1561316.0
GA,9,Devin Pandy,D,False,False,21.4,84272.0,84623.0
GA,10,Jody Hice,R,True,True,62.3,595947.0,457648.0
GA,10,Tabitha Johnson-Green,D,False,False,37.7,14808.0,12214.0
GA,11,Barry Loudermilk,R,True,True,60.4,877767.0,700851.0
GA,11,Dana Barrett,D,False,False,39.6,404625.0,394977.0
GA,12,Richard W Allen,R,True,True,58.4,1228970.0,662818.0
GA,12,Liz Johnson,D,False,False,41.6,72061.0,72061.0
GA,13,David Scott,D,True,True,77.4,1209614.0,1131746.0
GA,13,Becky Hites,R,False,False,22.6,63509.0,62935.0
GA,14,Marjorie Taylor Greene,R,False,True,74.8,2596914.0,2237599.0
HI,1,Ed Case,D,True,False,64.7,508249.0,472569.0
HI,1,Ron Curtis,R,False,False,25.1,12538.0,12647.0
HI,2,Kai Kahele,D,False,True,57.9,1235523.0,1039637.0
HI,2,Joe Akana,R,False,False,28.3,54534.0,55344.0
ID,1,Russ Fulcher,R,True,True,67.8,575485.0,508457.0
ID,1,Rudy Soto,D,False,False,28.7,302902.0,302902.0
ID,2,Mike Simpson,R,True,True,64.1,1008847.0,1099604.0
ID,2,Aaron Swisher,D,False,False,31.7,70674.0,70268.0
IL,1,Bobby Rush,D,True,True,73.8,541435.0,496454.0
IL,1,Philanise White,R,False,False,26.2,6289.0,5048.0
IL,2,Robin Kelly,D,True,True,78.8,1634783.0,1108137.0
IL,3,Marie Newman,D,False,True,56.4,2802093.0,2699323.0
IL,3,Mike Fricilone,R,False,False,43.6,128458.0,127980.0
IL,4,Jesus Garcia,D,True,True,16.0,822846.0,711159.0
IL,4,Jesus Solorio Jr,R,False,False,84.0,2065.0,843.0
IL,5,Mike Quigley,D,True,True,70.8,1171507.0,926655.0
IL,6,Sean Casten,D,True,True,52.8,5582179.0,5313570.0
IL,6,Jeanne Ives,R,False,False,45.4,3157771.0,3135464.0
IL,7,Danny K Davis,D,True,True,80.4,544690.0,505506.0
IL,8,Raja Krishnamoorthi,D,True,True,73.2,6358878.0,2207703.0
IL,9,Jan Schakowsky,D,True,True,71.0,1834801.0,1514838.0
IL,9,Sargis Sangari,R,False,False,29.0,35364.0,34715.0
IL,10,Brad Schneider,D,True,True,63.8,3459512.0,2873333.0
IL,10,Valerie Ramirez Mukherjee,R,False,False,36.2,130225.0,64764.0
IL,11,Bill Foster,D,True,True,63.3,2381354.0,1823906.0
IL,11,Rick Laib,R,False,False,36.7,20343.0,20064.0
IL,12,Mike Bost,R,True,True,60.6,1918041.0,1509573.0
IL,12,Ray Lenzi,D,False,False,39.4,161324.0,104809.0
IL,13,Rodney Davis,R,True,True,54.4,4943459.0,4822600.0
IL,13,Betsy Dirksen Londrigan,D,False,False,45.6,5297007.0,5281880.0
IL,14,Lauren A Underwood,D,True,True,50.7,7803579.0,7301503.0
IL,14,Jim Oberweis,R,False,False,49.3,2438857.0,2348798.0
IL,15,Mary Miller,R,False,True,73.5,689057.0,570356.0
IL,15,Erika Weaver,D,False,False,26.5,58689.0,23349.0
IL,16,Adam Kinzinger,R,True,True,64.8,2105736.0,1588550.0
IL,16,Dani Brzozowski,D,False,False,35.2,459344.0,376167.0
IL,17,Cheri Bustos,D,True,True,52.0,4975192.0,6391009.0
IL,17,Esther Joy King,R,False,False,48.0,2032878.0,2030587.0
IN,1,Frank Mrvan Jr,D,False,True,56.6,578635.0,464407.0
IN,1,Mark Leyva,R,False,False,40.4,16551.0,15343.0
IN,2,Jackie Walorski,R,True,True,61.5,2383467.0,1698202.0
IN,2,Pat Hackett,D,False,False,38.5,881888.0,867301.0
IN,3,Jim Banks,R,True,True,67.8,1202509.0,769591.0
IN,3,Chip Coldiron,D,False,False,32.2,94056.0,89883.0
IN,4,Jim Baird,R,True,True,66.6,327727.0,190158.0
IN,4,Joe Mackey,D,False,False,33.4,44585.0,43213.0
IN,5,Christina Hale,D,False,False,45.9,4010368.0,3998905.0
IN,5,Victoria Spartz,R,False,True,50.0,3119328.0,3010203.0
IN,6,Greg Pence,R,True,True,68.7,3114448.0,2804148.0
IN,6,Jeannine Lee Lake,D,False,False,27.7,143089.0,145315.0
IN,7,Andre Carson,D,True,True,62.4,1011635.0,873962.0
IN,7,Susan Marie Smith,R,False,False,37.6,62905.0,59843.0
IN,8,Larry Bucshon,R,True,True,66.9,1051336.0,1078646.0
IN,8,Thomasina Marsili,D,False,False,29.8,68734.0,68480.0
IN,9,Trey Hollingsworth,R,True,True,60.9,1166754.0,501136.0
IN,9,Andy Ruff,D,False,False,34.8,148263.0,134906.0
IA,1,Abby Finkenauer,D,True,False,48.7,5901441.0,5875405.0
IA,1,Ashley Hinson,R,False,True,51.3,5175883.0,5059211.0
IA,2,Rita Hart,D,False,False,50.0,4232992.0,4114400.0
IA,2,Mariannette Miller-Meeks,R,False,True,50.0,2174194.0,1721926.0
IA,3,Cindy Axne,D,True,True,49.0,6236976.0,6236994.0
IA,3,David Young,R,False,False,47.6,3170072.0,3094582.0
IA,4,J.D. Scholten,D,False,False,62.1,2885915.0,2902003.0
IA,4,Randy Feenstra,R,False,True,37.9,1906234.0,1894288.0
KS,1,Tracey Mann,R,False,True,71.4,1403353.0,1127156.0
KS,1,Kali Barnett,D,False,False,28.6,603036.0,592924.0
KS,2,Michelle De La Isla,D,False,False,40.5,1825085.0,1810968.0
KS,2,Jake Laturner,R,False,True,55.3,1593407.0,1578460.0
KS,3,Sharice Davids,D,True,True,53.4,5638552.0,5168034.0
KS,3,Amanda Adkins,R,False,False,43.8,2182382.0,2139673.0
KS,4,Ron Estes,R,True,True,64.0,1993808.0,1420188.0
KS,4,Laura Lombard,D,False,False,36.0,264459.0,258684.0
KY,1,James Comer,R,True,True,75.0,736116.0,502554.0
KY,2,Brett Guthrie,R,True,True,71.0,1412797.0,1566622.0
KY,2,Hank Linderman,D,False,False,26.3,93388.0,71122.0
KY,3,John Yarmuth,D,True,True,62.7,658295.0,690226.0
KY,3,Rhonda Palazzo,R,False,False,37.3,46144.0,45668.0
KY,4,Thomas Massie,R,True,True,67.1,1457316.0,1563275.0
KY,4,Alexandra Owensby,D,False,False,32.9,156174.0,106359.0
KY,5,Hal Rogers,R,True,True,84.2,664168.0,835781.0
KY,6,Andy Barr,R,True,True,57.3,4536264.0,4316239.0
KY,6,Josh Hicks,D,False,False,41.0,2936320.0,2935615.0
LA,1,Steve Scalise,R,True,True,72.2,37262827.0,32830607.0
LA,2,Cedric Richmond,D,True,True,63.6,1628289.0,1302079.0
LA,3,Clay Higgins,R,True,True,67.8,751498.0,720424.0
LA,3,Robert Jon Anderson,D,False,False,11.6,63617.0,48015.0
LA,3,Braylon Harris,D,False,False,17.9,23006.0,15130.0
LA,4,Mike Johnson,R,True,True,60.4,1299787.0,1039393.0
LA,4,Kenny Houston,D,False,False,25.5,33677.0,33407.0
LA,6,Garret Graves,R,True,True,71.1,1743015.0,1200287.0
LA,6,Dartanyon Williams,D,False,False,25.6,111316.0,98114.0
ME,1,Chellie Pingree,D,True,True,61.5,487080.0,264790.0
ME,1,Jay Allen,R,False,False,38.5,79585.0,69853.0
ME,2,Jared Golden,D,True,True,52.9,5272142.0,5233990.0
ME,2,Dale Crafts,R,False,False,47.1,1199805.0,1196117.0
MD,1,Andy Harris,R,True,True,63.5,1468096.0,973953.0
MD,1,Mia Mason,D,False,False,36.3,2524.0,0.0
MD,2,Dutch Ruppersberger,D,True,True,67.2,1012835.0,927353.0
MD,2,Johnny Ray Salling,R,False,False,32.6,68320.0,66895.0
MD,3,John Sarbanes,D,True,True,69.5,573599.0,687299.0
MD,3,Charles Anthony,R,False,False,30.3,7798.0,6742.0
MD,4,Anthony Brown,D,True,True,79.3,1446636.0,846827.0
MD,5,Steny H Hoyer,D,True,True,68.5,4587189.0,4342255.0
MD,5,Chris Palombi,R,False,False,31.2,43462.0,42095.0
MD,6,David Trone,D,True,True,57.9,2944893.0,2959748.0
MD,6,Neil Parrott,R,False,False,40.2,315936.0,261259.0
MD,7,Kweisi Mfume,D,True,True,71.6,1014126.0,713389.0
MD,7,Kimberly Klacik,R,False,False,28.1,8296845.0,7499454.0
MD,8,Jamie Raskin,D,True,True,67.3,2072652.0,1399252.0
MD,8,Gregory Coll,R,False,False,32.5,30876.0,27257.0
MA,1,Richard E Neal,D,True,True,96.5,4949384.0,5873122.0
MA,2,James P McGovern,D,True,True,65.3,1052549.0,1089412.0
MA,2,Tracy Lovvorn,R,False,False,34.6,26311.0,22319.0
MA,3,Lori Trahan,D,True,True,97.7,1449303.0,1232437.0
MA,4,Jake Auchincloss,D,False,True,60.8,2608686.0,2150904.0
MA,4,Julie Hall,R,False,False,38.9,131603.0,129378.0
MA,5,Katherine Clark,D,True,True,74.3,1788706.0,1514877.0
MA,5,Caroline Colarusso,R,False,False,25.6,148635.0,146972.0
MA,6,Seth Moulton,D,True,True,65.4,1289805.0,1802169.0
MA,6,John Paul Moran,R,False,False,34.4,300220.0,299104.0
MA,7,Ayanna Pressley,D,True,True,86.6,2163370.0,1748432.0
MA,8,Stephen Lynch,D,True,True,80.7,905614.0,1134662.0
MA,9,Bill Keating,D,True,True,61.3,708680.0,652448.0
MA,9,Helen Brady,R,False,False,36.3,28233.0,23735.0
MI,1,John Bergman,R,True,True,61.6,1868512.0,1733466.0
MI,1,Dana Ferguson,D,False,False,36.9,346213.0,339788.0
MI,2,Bill Huizenga,R,True,True,59.2,2175411.0,1883610.0
MI,2,Bryan Berghoef,D,False,False,38.2,751576.0,669864.0
MI,3,Hillary Scholten,D,False,False,47.0,3793132.0,3765942.0
MI,3,Peter Meijer,R,False,True,53.0,2975972.0,2887774.0
MI,4,John Moolenaar,R,True,True,65.0,1528612.0,1036160.0
MI,4,Jerry Hilliard,D,False,False,32.4,23117.0,23603.0
MI,5,Dan Kildee,D,True,True,54.5,1669951.0,1504094.0
MI,5,Tim Kelly,R,False,False,41.7,71106.0,71106.0
MI,6,Fred Upton,R,True,True,55.8,3616380.0,3464617.0
MI,6,Jon Hoadley,D,False,False,40.1,3116491.0,3098366.0
MI,7,Tim Walberg,R,True,True,58.8,2301635.0,1586358.0
MI,7,Gretchen Driskell,D,False,False,41.3,1712840.0,1712840.0
MI,8,Elissa Slotkin,D,True,True,50.9,8967420.0,7419974.0
MI,8,Paul Junge,R,False,False,47.3,2107608.0,2097131.0
MI,9,Andy Levin,D,True,True,57.8,1316607.0,907237.0
MI,10,Lisa McClain,R,False,True,66.3,2266287.0,2137031.0
MI,10,Kimberly Bizon,D,False,False,33.7,41438.0,41246.0
MI,11,Haley Stevens,D,True,True,50.2,5776924.0,5707448.0
MI,11,Eric Esshaki,R,False,False,47.8,1298612.0,1291509.0
MI,12,Debbie Dingell,D,True,True,66.4,1630498.0,1689582.0
MI,12,Jeff Jones,R,False,False,30.7,10616.0,9657.0
MI,13,Rashida Tlaib,D,True,True,77.9,4014411.0,3690334.0
MI,14,Brenda Lawrence,D,True,True,78.9,1084662.0,789570.0
MI,14,Vance Patrick,R,False,False,18.7,39670.0,41973.0
MN,1,Jim Hagedorn,R,True,True,48.6,2386033.0,2305994.0
MN,1,Daniel Feehan,D,False,False,45.5,4861651.0,4863835.0
MN,2,Angie Craig,D,True,True,48.2,5380101.0,4435492.0
MN,2,Tyler Kistner,R,False,False,45.9,2990054.0,2956042.0
MN,3,Dean Phillips,D,True,True,55.6,2328616.0,2152031.0
MN,3,Kendall Qualls,R,False,False,44.3,1863927.0,1751214.0
MN,4,Betty McCollum,D,True,True,63.2,1171748.0,994072.0
MN,4,Gene Rechtzigel,R,False,False,29.0,20075.0,20075.0
