,Year,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent
73,2018,CA,21,TJ Cox,D,False,True,50.4,"$2,927,765","$2,872,974"
74,2018,CA,22,Devin Nunes,R,True,True,52.7,"$12,619,096","$11,556,368"
75,2018,CA,22,Andrew Janz,D,False,False,47.3,"$9,086,681","$9,064,633"
76,2018,CA,23,Kevin McCarthy,R,True,True,63.7,"$7,986,409","$8,217,156"
77,2018,CA,23,Tatiana Matta,D,False,False,36.3,"$116,057","$106,342"
78,2018,CA,24,Salud Carbajal,D,True,True,58.6,"$2,732,106","$2,049,907"
79,2018,CA,24,Justin Fareed,R,False,False,41.4,"$1,436,737","$1,490,084"
80,2018,CA,25,Steve Knight,R,True,False,45.6,"$2,573,689","$2,582,818"
81,2018,CA,25,Katie Hill,D,False,True,54.4,"$8,407,103","$8,342,521"
82,2018,CA,26,Julia Brownley,D,True,True,61.9,"$2,552,123","$1,750,604"
83,2018,CA,26,Antonio Sabato Jr.,R,False,False,38.1,"$347,693","$347,693"
84,2018,CA,27,Judy Chu,D,True,True,79.2,"$1,395,417","$931,058"
85,2018,CA,27,Bryan Witt,D,False,False,20.8,"$11,127","$10,477"
86,2018,CA,28,Adam Schiff,D,True,True,78.4,"$6,250,005","$3,641,838"
87,2018,CA,28,Johnny Nalbandian,R,False,False,21.6,"$36,370","$36,333"
88,2018,CA,29,Tony Cardenas,D,True,True,80.6,"$1,495,827","$1,457,974"
89,2018,CA,29,Benny Bernal,R,False,False,29.4,"$5,728","$5,776"
90,2018,CA,30,Brad Sherman,D,True,True,73.4,"$1,390,199","$543,799"
91,2018,CA,31,Pete Aguilar,D,True,True,58.7,"$2,718,737","$2,419,009"
92,2018,CA,31,Sean Flynn,R,False,False,41.3,"$1,178,314","$1,213,452"
93,2018,CA,32,Grace Napolitano,D,True,True,68.8,"$409,150","$247,892"
94,2018,CA,32,Joshua Scott,R,False,False,31.2,"$6,274","$5,445"
95,2018,CA,33,Ted Lieu,D,True,True,70.0,"$1,771,606","$960,659"
96,2018,CA,33,Kenneth Wright,R,False,False,30.0,"$163,287","$159,955"
97,2018,CA,34,Jimmy Gomez,D,True,True,72.5,"$1,549,677","$1,485,466"
98,2018,CA,35,Norma Torres,D,True,True,69.4,"$624,401","$626,500"
99,2018,CA,35,Christian Valiente,R,False,False,30.6,"$4,214","$5,119"
100,2018,CA,36,Raul Ruiz,D,True,True,59.0,"$3,124,119","$2,468,445"
101,2018,CA,36,Kimberlin Brown Pelzer,R,False,False,41.0,"$843,395","$842,270"
102,2018,CA,37,Karen Bass,D,True,True,89.1,"$882,542","$815,604"
103,2018,CA,37,Ron Bassilian,R,False,False,10.9,"$10,388","$10,148"
104,2018,CA,38,Linda Sanchez,D,True,True,68.9,"$1,704,758","$1,388,214"
105,2018,CA,39,Gil Cisneros,D,False,True,51.6,"$12,111,832","$12,030,393"
106,2018,CA,39,Young Kim,R,False,False,48.4,"$2,891,080","$2,885,746"
